26 44
1 2 1
1 3 2
1 4 3
1 5 4
2 6 1
2 7 2
2 8 3
2 9 4
3 10 1
3 11 2
3 12 3
3 13 4
4 14 1
4 15 2
4 16 3
4 17 4
5 18 1
5 19 2
5 20 3
5 21 4
6 22 1
6 23 2
6 24 3
6 25 4
7 26 1
7 27 2
7 28 3
7 29 4
8 30 1
8 31 2
8 32 3
8 33 4
9 34 1
9 35 2
9 36 3
9 37 4
10 38 1
10 39 2
10 40 3
10 41 4
11 42 1
11 43 2
11 44 3
11 45 4
12 46 1
12 47 2
12 48 3
12 49 4
13 50 1
13 51 2
13 52 3
13 53 4
14 54 1
14 55 2
14 56 3
14 57 4
15 58 1
15 59 2
15 60 3
15 61 4
16 62 1
16 63 2
16 64 3
16 65 4
17 66 1
17 67 2
17 68 3
17 69 4
18 70 1
18 71 2
18 72 3
18 73 4
19 74 1
19 75 2
19 76 3
19 77 4
20 78 1
20 79 2
20 80 3
20 81 4
21 82 1
21 83 2
21 84 3
21 85 4
22 86 1
22 87 2
22 88 3
22 89 4
23 90 1
23 91 2
23 92 3
23 93 4
24 94 1
24 95 2
24 96 3
24 97 4
25 98 1
25 99 2
25 100 3
25 101 4
26 102 1
26 103 2
26 104 3
26 105 4
